"annotation_id","annotator","created_at","id","image","label","lead_time","updated_at"
18,"1","2025-01-06T23:09:10.154218Z",1,"/data/upload/5/a46dde10-image_0.png","[{""x"":23.485714285714288,""y"":27.936507936507937,""width"":47.18888888888889,""height"":58.41269841269842,""rotation"":0,""rectanglelabels"":[""Tişört""],""original_width"":300,""original_height"":411}]",14.504,"2025-01-06T23:09:10.154241Z"
19,"1","2025-01-06T23:09:17.561102Z",2,"/data/upload/5/48b22fe8-image_1.jpg","[{""x"":5.871428571428571,""y"":38.095238095238095,""width"":83.28730158730157,""height"":61.74603174603175,""rotation"":0,""rectanglelabels"":[""Tişört""],""original_width"":300,""original_height"":411}]",6.591,"2025-01-06T23:09:17.561121Z"
20,"1","2025-01-06T23:09:30.654294Z",3,"/data/upload/5/2106f78f-image_2.jpg","[{""x"":11.525396825396832,""y"":28.41269841269837,""width"":74.80634920634918,""height"":62.38095238095242,""rotation"":0,""rectanglelabels"":[""Tişört""],""original_width"":300,""original_height"":411},{""x"":47.62380952380953,""y"":90.63492063492063,""width"":2.3920634920634853,""height"":3.9682539682539613,""rotation"":0,""rectanglelabels"":[""Tişört""],""original_width"":300,""original_height"":411},{""x"":25.877777777777784,""y"":87.77777777777771,""width"":47.406349206349326,""height"":12.063492063492074,""rotation"":0,""rectanglelabels"":[""Pantolon""],""original_width"":300,""original_height"":411}]",20.596,"2025-01-06T23:19:51.390276Z"
21,"1","2025-01-06T23:09:38.996808Z",4,"/data/upload/5/260a2e26-image_3.jpg","[{""x"":13.482539682539683,""y"":26.984126984126984,""width"":73.93650793650795,""height"":61.1111111111111,""rotation"":0,""rectanglelabels"":[""Tişört""],""original_width"":300,""original_height"":411},{""x"":20.22380952380952,""y"":86.82539682539672,""width"":60.45396825396836,""height"":13.01587301587301,""rotation"":0,""rectanglelabels"":[""Pantolon""],""original_width"":300,""original_height"":411}]",14.326,"2025-01-06T23:19:42.107372Z"
22,"1","2025-01-06T23:09:49.752912Z",5,"/data/upload/5/ac7d56f3-image_4.jpg","[{""x"":9.350793650793658,""y"":28.730158730158738,""width"":79.59047619047618,""height"":60.3174603174603,""rotation"":0,""rectanglelabels"":[""Tişört""],""original_width"":300,""original_height"":411},{""x"":26.095238095238088,""y"":86.34920634920627,""width"":46.3190476190477,""height"":13.65079365079363,""rotation"":0,""rectanglelabels"":[""Pantolon""],""original_width"":300,""original_height"":411}]",18.347,"2025-01-06T23:19:34.460679Z"
23,"1","2025-01-06T23:10:00.487471Z",6,"/data/upload/5/03a75ed2-image_5.jpg","[{""x"":23.05079365079365,""y"":25.555555555555515,""width"":58.27936507936503,""height"":56.34920634920625,""rotation"":0,""rectanglelabels"":[""Tişört""],""original_width"":300,""original_height"":411}]",9.855,"2025-01-06T23:10:00.487498Z"
24,"1","2025-01-06T23:10:09.249315Z",7,"/data/upload/5/e83ec9a4-image_6.jpg","[{""x"":18.484126984126988,""y"":27.77777777777778,""width"":66.97777777777779,""height"":59.36507936507937,""rotation"":0,""rectanglelabels"":[""Tişört""],""original_width"":300,""original_height"":411}]",7.757,"2025-01-06T23:10:09.249337Z"
25,"1","2025-01-06T23:10:48.361268Z",8,"/data/upload/5/33ead973-image_7.jpg","[{""x"":21.093650793650784,""y"":27.77777777777776,""width"":58.27936507936513,""height"":43.33333333333332,""rotation"":0,""rectanglelabels"":[""Tişört""],""original_width"":300,""original_height"":411},{""x"":21.093650793650795,""y"":65.87301587301585,""width"":53.06031746031735,""height"":24.603174603174686,""rotation"":0,""rectanglelabels"":[""Etek""],""original_width"":300,""original_height"":411}]",70.345,"2025-01-06T23:19:19.171023Z"
26,"1","2025-01-06T23:10:56.755320Z",9,"/data/upload/5/ebd54286-image_8.jpg","[{""x"":29.574603174603176,""y"":16.19047619047619,""width"":38.925396825396824,""height"":27.460317460317462,""rotation"":0,""rectanglelabels"":[""Tişört""],""original_width"":300,""original_height"":411},{""x"":26.530158730158732,""y"":39.682539682539684,""width"":51.32063492063491,""height"":50.952380952380935,""rotation"":0,""rectanglelabels"":[""Pantolon""],""original_width"":300,""original_height"":411}]",23.956,"2025-01-06T23:18:46.447598Z"
27,"1","2025-01-06T23:11:17.703000Z",10,"/data/upload/5/e7fb1fde-image_9.jpg","[{""x"":9.56825396825396,""y"":23.96825396825397,""width"":73.284126984127,""height"":60.952380952381006,""rotation"":0,""rectanglelabels"":[""Tişört""],""original_width"":300,""original_height"":411}]",20.226,"2025-01-06T23:11:17.703023Z"
